ips-now,ips-next
3.06,3.16
2.87,3.39
2.68,3.26
2.72,3.62
2.94,3.41
3.02,3.06
2.87,3.41
3.27,3.44
2.96,3.46
3.08,3.38
3.43,3.64
3.7,3.62
2.71,2.94
3.0,3.14
2.78,3.26
2.97,3.53
3.25,3.3
3.2,3.42
3.51,3.43
3.4,3.42
3.21,3.64
3.59,3.75
3.45,3.5
3.55,3.81
3.56,3.9
3.35,3.77
3.35,3.44
3.23,3.5
3.28,3.27
3.27,3.32
3.15,3.21
2.99,3.37
2.94,3.23
2.7,2.73
2.81,2.92
2.71,3.1
2.85,2.79
2.72,2.89
2.71,2.71
2.48,3.42
2.79,3.51
3.25,3.49
3.26,3.7
3.24,3.59
3.36,3.62
3.18,3.57
3.16,3.56
3.2,3.7
3.65,3.97
2.49,3.0
2.54,2.95
2.54,3.06
2.53,3.52
2.57,3.44
2.74,3.34
2.9,3.27
2.65,3.68
2.76,3.22
3.0,3.25
2.81,3.55
3.11,3.64
2.93,3.55
3.11,3.66
3.28,3.75
3.72,4.0
3.84,3.85
2.61,3.5
2.61,3.5
2.99,3.77
2.85,3.65
2.85,3.65
3.13,3.47
2.48,3.53
2.84,3.45
2.84,3.45
2.87,3.46
2.87,3.46
2.71,3.45
2.71,3.45
2.78,3.16
2.78,3.16
2.52,3.1
3.33,3.82
3.13,3.41
2.91,3.19
2.99,3.68
2.87,3.48
2.91,3.06
2.67,3.19
2.69,3.26
2.72,3.14
2.74,3.18
2.5,3.19
2.58,3.08
2.56,3.14
2.7,2.85
2.3,2.96
2.47,2.95
2.6,2.85
2.69,3.05
3.23,3.14
2.8,3.44
2.95,3.2
2.96,3.28
3.32,2.98
3.15,3.11
2.89,3.5
3.09,3.23
3.33,3.4
3.46,3.38
3.2,3.36
3.18,3.55
3.35,3.59
3.48,3.55
3.32,3.67
3.56,3.74
3.75,3.71
3.51,3.86
3.8,3.76
2.8,2.94
2.87,2.8
2.98,2.67
2.77,2.69
2.79,3.09
2.84,3.63
2.94,3.28
3.28,3.02
3.52,3.12
3.05,3.28
2.86,3.17
3.32,3.43
3.54,3.38
3.53,3.44
3.5,3.38
3.68,3.48
3.82,3.54
3.65,3.82
3.7,3.64
3.41,3.53
3.7,3.29
3.6,3.32
3.47,3.32
3.27,3.13
3.01,2.94
3.32,2.94
3.08,3.35
3.0,2.93
2.87,3.28
2.41,3.13
3.03,2.67
3.15,2.72
2.49,2.61
2.7,2.54
2.71,2.62
2.74,2.76
3.39,3.76
3.33,3.66
3.17,3.5
3.14,3.39
3.13,3.59
3.02,3.44
3.01,3.26
2.71,3.38
2.87,3.42
2.8,3.31
3.08,3.66
3.09,3.31
2.9,3.09
2.63,3.17
2.79,3.29
2.67,3.36
2.82,3.39
2.97,3.17
2.62,3.52
2.45,3.33
2.73,3.24
2.79,2.8
2.63,3.01
2.7,3.03
2.9,3.21
2.97,3.45
2.66,3.47
2.76,3.2
2.79,3.75
2.7,3.21
2.81,3.64
2.84,3.16
2.66,3.3
3.1,3.49
3.17,3.58
3.0,3.38
2.75,3.57
3.16,3.67
3.39,3.68
3.55,3.53
3.05,3.62
3.24,3.7
3.51,3.72
2.98,3.65
3.23,3.47
2.8,3.21
3.18,3.19
2.45,3.33
2.8,3.28
2.87,3.58
3.33,2.92
2.72,3.23
2.68,3.06
2.49,2.95
2.82,3.29
2.58,2.78
2.95,2.72
2.29,2.6
2.23,2.49
3.31,3.7
2.81,3.55
3.05,3.39
2.91,3.39
2.9,3.37
2.83,3.27
2.68,3.07
2.71,2.79
2.51,2.91
2.33,2.49
2.45,2.99
2.72,2.95
2.48,2.92
2.56,2.57
2.48,2.83
2.33,3.03
2.6,2.72
2.55,3.01
2.84,3.22
2.87,3.43
2.88,3.4
2.75,3.04
3.07,3.41
2.84,3.28
3.06,3.37
3.1,3.5
3.6,3.59
3.08,3.58
2.77,3.03
2.47,3.02
3.89,3.9
3.15,3.32
3.0,3.17
2.93,3.16
2.86,3.18
2.91,2.96
2.84,3.21
2.78,3.2
2.68,3.07
2.5,2.93
2.4,2.8
2.65,2.86
2.91,2.94
3.26,2.53
3.05,3.0
2.95,2.84
2.76,2.9
2.88,3.21
3.11,2.99
2.96,3.05
3.12,3.03
3.05,3.26
3.5,3.07
3.17,2.9
3.2,3.06
3.37,3.01
3.17,3.46
3.43,3.16
3.24,3.54
3.43,3.79
2.77,3.46
3.01,3.37
2.86,3.59
3.2,3.39
3.3,3.17
3.03,3.32
2.7,3.3
3.01,3.22
2.54,3.17
2.97,2.98
2.6,2.95
2.68,3.18
2.65,3.43
2.57,3.05
2.4,3.0
2.3,3.05
2.95,3.23
3.21,3.1
2.62,3.49
2.96,3.1
2.81,3.21
2.49,3.19
2.55,2.91
2.72,3.25
2.65,3.22
2.49,2.97
2.46,2.86
2.4,3.07
2.63,3.0
2.52,2.87
2.61,2.47
2.95,2.74
2.67,2.87
3.0,2.61
2.76,3.08
3.06,2.67
3.03,3.15
3.01,2.83
3.23,3.08
3.11,3.26
3.41,3.51
3.3,3.46
3.0,3.16
3.36,3.4
3.37,3.18
3.57,3.47
3.81,3.52
3.08,3.45
3.54,3.28
3.29,3.63
3.38,3.29
2.86,3.12
3.33,2.88
2.86,2.83
3.01,3.23
2.83,3.19
2.88,3.08
2.84,3.17
2.72,3.01
2.67,2.87
2.67,2.98
2.91,2.87
2.71,2.68
2.33,2.54
3.82,3.39
3.45,3.06
3.44,2.82
3.41,3.2
3.41,3.14
2.9,2.8
3.78,3.12
3.23,2.85
3.12,2.46
2.52,2.36
2.67,2.72
2.86,3.02
2.95,3.14
2.8,3.02
2.76,3.05
2.69,2.97
3.19,3.2
3.1,3.26
3.14,3.29
3.42,3.58
3.64,3.72
3.44,3.63
2.72,2.51
2.79,2.62
2.58,2.56
2.42,2.72
3.05,2.68
2.79,2.57
2.78,2.7
3.06,2.65
3.08,2.72
2.99,2.72
3.12,3.25
2.9,3.32
3.17,3.06
3.44,3.34
3.36,3.12
3.26,3.52
3.43,3.5
3.62,3.27
3.79,3.9
2.81,2.53
2.59,2.88
2.61,2.75
2.8,3.15
2.75,2.88
2.97,3.08
2.87,3.05
3.26,3.05
3.23,3.05
2.81,3.28
3.47,2.93
3.41,2.99
3.32,3.26
3.44,3.19
3.24,3.29
3.69,3.21
3.82,3.51
3.81,3.72
3.79,3.82
3.58,3.15
3.41,3.43
3.12,3.39
3.5,3.43
3.52,2.98
2.97,2.99
3.15,2.61
2.95,2.98
2.93,2.91
3.1,2.84
3.2,2.78
2.81,2.74
