ips-now,ips-next
3.04,2.64
2.91,2.7
2.69,2.65
2.55,2.68
2.54,2.47
2.79,2.89
2.7,2.96
2.75,2.99
3.17,2.98
2.64,3.27
2.72,3.17
2.97,3.1
2.69,3.18
3.17,3.4
3.2,3.32
3.37,3.6
3.75,3.9
3.38,3.54
3.78,3.61
3.55,3.49
3.4,3.52
3.15,3.07
3.12,3.25
3.06,3.11
2.91,2.84
2.75,2.94
3.01,3.03
2.63,3.1
2.69,2.88
2.7,2.68
2.45,2.39
3.6,3.77
3.61,3.59
3.45,3.3
2.95,3.18
3.42,3.76
3.36,3.1
3.09,3.32
3.29,3.09
3.18,2.84
3.03,3.35
3.44,3.24
2.79,2.59
3.08,2.74
2.61,2.47
2.28,2.97
2.56,3.06
2.79,3.18
3.09,3.55
2.74,3.61
3.26,3.61
3.25,3.41
2.92,3.56
3.12,3.4
2.84,3.44
2.98,3.5
3.42,3.79
3.15,3.62
3.05,3.51
3.45,3.56
3.25,3.55
3.54,3.79
3.51,3.84
3.86,3.84
4.0,3.97
3.94,3.87
3.78,3.93
3.76,3.55
3.71,3.71
3.53,3.74
3.53,3.68
3.44,3.72
3.39,3.61
3.33,3.86
3.31,3.63
3.3,3.79
3.42,3.45
3.44,3.64
3.26,3.64
3.15,3.27
3.19,3.45
3.54,3.57
3.47,3.28
3.03,3.11
3.02,3.41
3.33,3.71
3.18,3.3
3.73,3.58
3.18,3.36
3.3,3.33
3.07,3.1
3.43,3.41
3.08,3.69
3.39,3.3
2.98,3.08
3.05,3.01
2.82,3.29
3.11,3.14
3.46,3.3
2.97,3.25
2.91,3.16
2.98,3.06
3.02,3.1
2.63,3.08
2.68,3.18
2.89,3.16
2.83,3.01
2.67,3.3
2.45,2.88
3.01,2.91
3.09,3.07
3.3,2.91
2.52,2.82
2.83,2.79
2.92,2.83
2.52,2.71
2.8,2.96
2.51,3.11
2.33,2.55
2.64,2.77
2.51,2.75
2.87,3.08
2.83,2.97
2.99,3.03
3.11,3.19
3.23,2.97
3.66,3.37
3.3,3.48
3.57,3.72
3.45,3.65
3.79,3.96
3.68,3.96
3.02,3.54
3.66,2.91
3.35,3.38
3.32,3.36
3.03,3.46
3.41,3.41
3.3,3.25
3.44,3.39
3.45,3.2
3.27,3.26
2.91,3.27
3.07,3.0
3.0,2.44
2.71,2.59
3.63,3.6
3.66,3.39
3.57,3.32
3.53,3.61
3.7,3.79
3.16,3.49
3.31,3.12
3.27,2.56
3.31,2.74
3.15,3.03
3.23,2.26
2.92,2.41
3.96,4.0
3.85,4.0
3.83,3.84
3.96,3.91
3.72,3.91
3.83,4.0
3.78,3.89
3.66,4.0
3.96,4.0
3.87,3.84
3.81,3.95
3.8,3.81
3.72,3.95
3.75,3.93
3.74,3.84
3.7,3.95
3.69,3.5
3.46,3.89
3.77,3.83
3.68,3.84
3.81,3.76
3.64,3.87
3.64,3.86
3.66,3.67
3.6,3.63
3.64,3.81
3.69,3.84
3.5,3.78
3.64,3.91
3.6,3.79
3.64,3.66
3.43,3.81
3.31,3.95
3.48,3.89
3.63,3.81
3.41,3.65
3.27,3.72
3.56,3.79
3.38,3.86
3.55,3.84
3.7,3.65
3.5,3.72
3.25,3.7
3.86,3.72
3.7,3.63
3.42,3.7
3.57,3.86
3.7,3.68
3.51,3.83
3.58,3.59
3.63,3.41
3.64,3.61
3.13,3.41
3.15,3.49
2.98,3.56
3.96,3.76
3.63,3.65
3.76,3.7
3.75,3.7
3.76,3.62
3.42,3.83
3.4,3.58
3.6,3.61
2.24,3.71
3.48,3.5
3.42,3.55
3.3,3.36
2.92,3.35
3.09,3.41
3.88,3.9
3.69,4.0
3.7,3.96
3.88,3.6
3.81,3.96
3.84,3.45
3.56,3.75
3.68,3.76
3.78,3.69
3.42,3.56
3.66,3.6
3.75,3.33
3.08,2.89
3.93,4.0
3.9,3.96
3.64,3.91
3.87,3.91
3.6,3.87
3.67,3.91
3.71,3.96
3.8,3.81
3.79,3.87
3.54,3.56
3.6,3.64
3.43,3.79
3.67,3.66
3.27,3.39
3.46,3.66
