ips-now,ips-next
3.25,2.8
2.64,3.08
2.74,3.09
2.96,2.9
3.59,2.63
3.13,2.79
2.6,2.67
3.08,2.82
2.89,2.97
2.53,2.62
2.91,2.45
2.77,2.73
2.74,2.79
2.39,2.63
2.72,2.7
2.61,2.9
3.04,2.97
3.27,2.66
3.23,2.76
2.87,2.79
3.23,2.7
2.89,2.81
2.97,2.84
3.34,2.66
2.87,3.1
3.24,3.17
3.29,3.0
2.88,2.75
3.11,3.16
3.15,3.39
3.8,3.55
3.57,3.05
3.73,3.24
3.97,3.51
3.57,2.98
3.65,3.23
3.18,2.8
3.13,3.18
2.75,2.45
2.6,2.8
3.18,2.87
3.08,3.33
2.9,2.72
3.1,2.68
2.96,2.49
2.63,2.82
2.52,2.58
2.74,2.95
2.77,2.29
2.26,2.23
3.52,3.31
3.67,2.81
3.5,3.05
3.25,2.91
3.37,2.9
2.9,2.83
3.07,2.68
2.63,2.71
2.51,2.51
3.19,2.33
2.95,2.45
2.72,2.72
2.6,2.48
2.68,2.56
2.25,2.48
2.43,2.33
2.8,2.6
2.56,2.55
2.65,2.84
2.72,2.87
2.99,2.88
3.3,2.75
2.84,3.07
3.03,2.84
3.02,3.06
3.51,3.1
3.52,3.6
3.29,3.08
2.32,2.77
2.57,2.47
3.89,3.89
2.73,3.15
3.03,3.0
2.88,2.93
2.84,2.86
2.91,2.91
3.06,2.84
2.87,2.78
2.72,2.68
2.73,2.5
2.57,2.4
2.73,2.65
2.88,2.91
3.11,3.26
2.91,3.05
2.79,2.95
3.22,2.76
2.78,2.88
3.27,3.11
3.18,2.96
2.94,3.12
2.89,3.05
2.85,3.5
3.42,3.17
3.11,3.2
3.4,3.37
2.55,3.17
3.16,3.43
3.03,3.24
2.94,3.43
2.8,2.77
3.2,3.01
2.78,2.86
2.97,3.2
2.77,3.3
3.22,3.03
2.72,2.7
2.77,3.01
2.73,2.54
2.53,2.97
2.56,2.6
2.5,2.68
2.6,2.65
2.74,2.57
2.47,2.4
2.24,2.3
3.13,2.95
2.6,3.21
2.96,2.62
3.2,2.96
2.53,2.81
2.97,2.49
3.04,2.55
2.57,2.72
2.63,2.65
2.67,2.49
2.94,2.46
2.67,2.4
2.56,2.63
2.52,2.52
2.87,2.61
2.93,2.95
3.1,2.67
3.29,3.0
3.12,2.76
2.98,3.06
3.31,3.03
3.53,3.01
3.62,3.23
3.35,3.11
3.17,3.41
3.14,3.3
3.78,3.0
3.43,3.36
3.34,3.37
3.62,3.57
3.94,3.81
3.59,3.08
3.6,3.54
3.33,3.29
3.34,3.38
3.09,2.86
3.35,3.33
3.25,2.86
3.48,3.01
3.52,2.83
3.31,2.88
3.05,2.84
3.51,2.72
2.98,2.67
3.08,2.67
3.12,2.91
2.87,2.71
2.67,2.33
3.85,3.82
3.84,3.45
3.97,3.44
3.59,3.41
3.54,3.41
3.12,2.9
3.13,3.78
2.88,3.23
3.08,3.12
2.87,2.52
2.48,2.67
2.56,2.86
2.99,2.95
2.82,2.8
3.01,2.76
3.2,2.69
3.58,3.19
3.35,3.1
3.1,3.14
3.37,3.42
3.95,3.64
3.77,3.44
3.06,2.72
3.22,2.79
3.03,2.58
3.01,2.42
3.2,3.05
2.99,2.79
2.8,2.78
2.87,3.06
2.97,3.08
3.37,2.99
3.58,3.12
3.04,2.9
3.58,3.17
3.45,3.44
3.38,3.36
3.02,3.26
3.71,3.43
3.89,3.62
3.78,3.79
3.18,2.81
2.92,2.59
2.76,2.61
2.84,2.8
3.08,2.75
3.03,2.97
3.23,2.87
3.12,3.26
3.36,3.23
3.07,2.81
3.32,3.47
3.36,3.41
3.48,3.32
3.34,3.44
3.31,3.24
3.68,3.69
3.62,3.82
3.45,3.81
3.58,3.79
3.71,3.58
3.36,3.41
3.44,3.12
3.16,3.5
3.46,3.52
3.54,2.97
3.16,3.15
2.99,2.95
3.05,2.93
3.11,3.1
3.01,3.2
3.06,2.81
2.77,3.04
3.17,2.91
2.95,2.69
2.92,2.55
2.74,2.54
2.63,2.79
2.6,2.7
2.85,2.75
2.49,3.17
3.16,2.64
3.43,2.72
3.28,2.97
3.69,2.69
2.95,3.17
3.29,3.2
3.24,3.37
3.49,3.75
3.86,3.38
3.54,3.78
3.73,3.55
3.19,3.4
3.18,3.15
3.04,3.12
3.14,3.06
3.14,2.91
2.95,2.75
2.67,3.01
2.93,2.63
3.27,2.69
2.68,2.7
2.74,2.45
3.85,3.6
3.68,3.61
3.26,3.45
3.35,2.95
3.16,3.42
3.68,3.36
3.39,3.09
3.62,3.29
3.59,3.18
3.53,3.03
3.34,3.44
3.07,2.79
3.02,3.08
2.79,2.61
2.6,2.28
2.81,2.56
2.96,2.79
2.93,3.09
3.12,2.74
2.77,3.26
2.88,3.25
2.92,2.92
2.97,3.12
3.37,2.84
3.36,2.98
3.13,3.42
3.41,3.15
3.43,3.05
3.25,3.45
3.65,3.25
3.61,3.54
3.58,3.51
3.71,3.86
3.64,4.0
3.95,3.94
3.94,3.78
3.55,3.76
3.55,3.71
3.64,3.53
3.46,3.53
3.42,3.44
3.43,3.39
3.18,3.33
3.2,3.31
3.49,3.3
3.39,3.42
3.26,3.44
3.48,3.26
3.71,3.15
3.23,3.19
3.1,3.54
3.16,3.47
3.13,3.03
3.36,3.02
3.15,3.33
3.23,3.18
3.12,3.73
3.34,3.18
3.04,3.3
2.95,3.07
3.12,3.43
3.16,3.08
2.89,3.39
3.18,2.98
3.46,3.05
3.01,2.82
2.9,3.11
3.11,3.46
2.89,2.97
2.59,2.91
2.72,2.98
2.87,3.02
3.15,2.63
2.92,2.68
2.6,2.89
2.77,2.83
2.74,2.67
2.78,2.45
2.93,3.01
2.64,3.09
2.75,3.3
2.89,2.52
2.35,2.83
2.78,2.92
2.89,2.52
2.55,2.8
2.63,2.51
2.41,2.33
2.56,2.64
2.56,2.51
2.81,2.87
2.96,2.83
2.62,2.99
3.12,3.11
3.12,3.23
3.21,3.66
3.49,3.3
3.64,3.57
3.72,3.45
3.8,3.79
3.37,3.68
3.28,3.02
3.43,3.66
3.35,3.35
3.11,3.32
3.39,3.03
3.35,3.41
3.44,3.3
3.01,3.44
3.16,3.45
2.91,3.27
2.64,2.91
3.09,3.07
2.59,3.0
3.26,2.71
3.61,3.63
3.41,3.66
3.43,3.57
3.61,3.53
3.75,3.7
3.43,3.16
3.12,3.31
3.07,3.27
2.83,3.31
3.07,3.15
3.02,3.23
2.82,2.92
3.79,3.96
3.91,3.85
3.63,3.83
3.11,3.96
3.78,3.72
3.54,3.83
3.59,3.78
3.53,3.66
3.05,3.96
3.57,3.87
3.2,3.81
3.33,3.8
3.46,3.72
2.96,3.75
3.29,3.74
3.13,3.7
3.35,3.69
3.4,3.46
3.24,3.77
3.42,3.68
3.1,3.81
3.36,3.64
3.13,3.64
3.25,3.66
3.09,3.6
3.15,3.64
3.17,3.69
3.16,3.5
3.25,3.64
3.3,3.6
3.12,3.64
3.27,3.43
3.3,3.31
3.32,3.48
3.39,3.63
3.06,3.41
3.21,3.27
2.85,3.56
2.89,3.38
2.99,3.55
2.83,3.7
3.32,3.5
3.22,3.25
2.84,3.86
2.95,3.7
2.93,3.42
2.97,3.57
2.95,3.7
3.02,3.51
2.81,3.58
2.73,3.63
2.67,3.64
3.19,3.13
2.78,3.15
2.57,2.98
3.54,3.96
3.42,3.63
3.09,3.76
3.18,3.75
3.29,3.76
3.26,3.42
3.08,3.4
2.95,3.6
3.47,2.24
2.71,3.48
2.88,3.42
3.27,3.3
2.95,2.92
2.67,3.09
3.82,3.88
3.94,3.69
3.64,3.7
3.87,3.88
3.6,3.81
3.51,3.84
3.75,3.56
3.16,3.68
3.01,3.78
3.25,3.42
3.25,3.66
2.91,3.75
2.62,3.08
3.91,3.93
3.83,3.9
3.68,3.64
3.66,3.87
3.67,3.6
3.09,3.67
3.64,3.71
3.34,3.8
3.39,3.79
3.31,3.54
3.26,3.6
2.96,3.43
2.76,3.67
3.12,3.27
2.87,3.46
