ips-now,ips-next
2.61,3.06
2.33,2.87
2.46,2.68
2.7,2.72
2.67,2.94
2.57,3.02
2.57,2.87
2.69,3.27
2.7,2.96
2.87,3.08
2.68,3.43
3.31,3.7
2.25,2.71
2.23,3.0
2.62,2.78
2.42,2.97
2.67,3.25
2.9,3.2
3.14,3.51
2.93,3.4
2.9,3.21
3.25,3.59
3.01,3.45
3.42,3.55
3.33,3.56
2.91,3.35
3.0,3.35
2.49,3.23
2.89,3.28
2.68,3.27
2.75,3.15
2.55,2.99
2.57,2.94
2.58,2.7
2.52,2.81
2.53,2.71
2.54,2.85
2.24,2.72
2.6,2.71
2.27,2.48
2.84,2.79
2.8,3.25
2.76,3.26
2.66,3.24
2.56,3.36
2.91,3.18
3.02,3.16
3.01,3.2
3.59,3.65
2.59,2.49
2.5,2.54
2.71,2.54
2.57,2.53
2.94,2.57
2.75,2.74
2.58,2.9
2.58,2.65
2.86,2.76
2.59,3.0
3.31,2.81
2.8,3.11
2.88,2.93
3.04,3.11
3.37,3.28
3.57,3.72
3.11,3.84
3.1,2.61
3.1,2.61
2.81,2.99
2.88,2.85
2.88,2.85
2.66,3.13
2.83,2.48
3.1,2.84
3.1,2.84
2.75,2.87
2.75,2.87
2.57,2.71
2.57,2.71
2.77,2.78
2.77,2.78
2.58,2.52
3.12,3.33
2.93,3.13
2.43,2.91
2.38,2.99
2.39,2.87
2.55,2.91
2.39,2.67
2.59,2.69
2.39,2.72
2.44,2.74
2.46,2.5
2.57,2.58
2.47,2.56
2.44,2.7
2.57,2.3
2.33,2.47
2.45,2.6
2.71,2.69
2.51,3.23
2.61,2.8
2.87,2.95
2.74,2.96
3.03,3.32
2.76,3.15
2.71,2.89
2.8,3.09
2.95,3.33
3.01,3.46
3.0,3.2
3.06,3.18
3.07,3.35
3.23,3.48
2.67,3.32
3.42,3.56
3.3,3.75
3.36,3.51
3.48,3.8
2.62,2.8
2.81,2.87
2.5,2.98
2.53,2.77
2.36,2.79
2.71,2.84
2.73,2.94
2.73,3.28
2.91,3.52
2.77,3.05
2.5,2.86
3.13,3.32
2.67,3.54
3.37,3.53
3.0,3.5
3.28,3.68
3.09,3.82
3.54,3.65
3.49,3.7
3.34,3.41
3.46,3.7
3.04,3.6
3.0,3.47
2.87,3.27
2.77,3.01
2.91,3.32
2.84,3.08
2.76,3.0
2.61,2.87
2.88,2.41
2.78,3.03
2.47,3.15
2.63,2.49
2.62,2.7
2.64,2.71
2.62,2.74
3.5,3.39
3.25,3.33
3.24,3.17
3.35,3.14
3.31,3.13
3.22,3.02
3.07,3.01
3.25,2.71
3.03,2.87
