iter	RMSE
277	0.5075219424
278	0.5072370283
279	0.506989925
280	0.5069270354
281	0.5067888949
282	0.506687833
283	0.5062765363
284	0.5060620206
285	0.5057256895
286	0.5055706458
287	0.5054883696
288	0.505128336
289	0.5045150276
290	0.5041105394
291	0.5037941422
292	0.5034364897
293	0.5031452956
294	0.5029129505
295	0.5025183486
296	0.5023517581
297	0.5022418436
298	0.5019057553
299	0.5017250613
300	0.5016177166
301	0.5014337479
302	0.5010885532
303	0.5008828522
304	0.5006253918
305	0.5005023747
306	0.5004471499
307	0.5001095457
308	0.4999919538
309	0.4999377355
310	0.4995941713
311	0.4995413717
312	0.4994192768
313	0.499299244
314	0.4990887175
315	0.4987783882
316	0.4986568417
317	0.498565345
318	0.4981414808
319	0.4979657102
320	0.4977550037
321	0.497499919
322	0.4970631298
323	0.4970008039
324	0.4966876475
325	0.4964427137
326	0.4963622089
327	0.4962027716
328	0.4958526583
329	0.4956686855
330	0.4954920631
331	0.4951732154
332	0.4948904639
333	0.4947803823
334	0.4946855694
335	0.4944113298
336	0.4942989093
337	0.4939807258
338	0.4937382072
339	0.4935997956
340	0.4934878647
341	0.4933971959
342	0.4932149785
343	0.4930686923
344	0.4928526545
345	0.4926726318
346	0.4925125036
347	0.4922833836
348	0.4918779769
349	0.4917570334
350	0.4914642337
351	0.4912824616
352	0.4910600639
353	0.490826937
354	0.4905227573
355	0.4902828864
356	0.4902405116
357	0.4901545929
358	0.4898700905
359	0.489816177
360	0.4897336098
361	0.4895406158
362	0.4892954465
363	0.4891564615
364	0.4888512875
365	0.48876407
366	0.4886424655
367	0.4884205084
368	0.4882757688
369	0.4880748163
370	0.4880061275
371	0.4876931962
372	0.4876038691
373	0.4874053591
374	0.4870607331
375	0.4868527728
376	0.4865737226
377	0.4863820997
378	0.4861996045
379	0.4859310412
380	0.4858132101
381	0.4856749629
382	0.4853980284
383	0.4851455499
384	0.484870032
385	0.4848151608
386	0.4846252485
387	0.484334743
388	0.4841607397
389	0.483972866
390	0.4838869914
391	0.4837021967
392	0.4835438664
393	0.4832360532
394	0.4830466474
395	0.4829122017
396	0.482723917
397	0.4824754194
398	0.4821907791
399	0.4819212605
400	0.4816652191
401	0.4815162697
402	0.481292671
403	0.481159432
404	0.4810265688
405	0.4807666412
406	0.4805113213
407	0.480371415
408	0.4802637227
409	0.4801234401
410	0.4798948903
411	0.4798137462
412	0.4795414585
413	0.4793986181
414	0.4791373249
415	0.4788741888
416	0.4786420948
417	0.4785233319
418	0.4784979053
419	0.4783628611
420	0.4782747822
421	0.4779821043
422	0.4778435998
423	0.4776532761
424	0.4774137282
425	0.4773466806
426	0.4770857565
427	0.4769394086
428	0.476666042
429	0.4765213564
430	0.4763504522
431	0.476198116
432	0.4760324935
433	0.4758698469
434	0.4756236766
435	0.4755146818
436	0.4753369792
437	0.4751102067
438	0.4748122685
439	0.47463339
440	0.4743746036
441	0.474191479
442	0.4739841255
443	0.4738454185
444	0.4738008247
445	0.4736923957
446	0.4735492776
447	0.4732806743
448	0.4732020853
449	0.4730520026
450	0.4729234472
451	0.472781141
452	0.4725327605
453	0.4724176784
454	0.4722473099
455	0.4720990885
456	0.4718596111
457	0.4716977299
458	0.4713982931
459	0.4712344904
460	0.4711654359
461	0.4710693152
462	0.4709367536
463	0.4704964696
464	0.4702647255
465	0.4700258666
466	0.4698550236
467	0.4698146077
468	0.4695216148
469	0.469431892
470	0.4692687209
471	0.4689495347
472	0.4686812815
473	0.4684179823
474	0.4681268708
475	0.4677604306
476	0.4675234811
477	0.4672647474
478	0.4670689121
479	0.4668765112
480	0.4667318083
481	0.4664452239
482	0.466228705
483	0.4659876032
484	0.4657975242
485	0.46555019
486	0.4651987952
487	0.4649931154
488	0.4646480973
489	0.4644879358
490	0.4642805845
491	0.4639577405
492	0.4637853286
493	0.4637538068
494	0.4635300132
495	0.4632183246
496	0.4630539507
497	0.4629107388
498	0.4625339552
499	0.4622593107
500	0.4620247116
501	0.4618484553
502	0.4617289554
503	0.4615186952
504	0.4612900384
505	0.4611322712
506	0.4610563163
507	0.4608043497
508	0.4605667918
509	0.4605020536
510	0.4603331911
511	0.4601707805
512	0.4600683236
513	0.459899626
514	0.45969725
515	0.4595463446
516	0.4594735865
517	0.4592692908
518	0.4592147635
519	0.4589917631
520	0.4589093632
521	0.4587142392
522	0.4582479188
523	0.4580682603
524	0.4577713293
525	0.4577008763
526	0.4575794588
527	0.4575083291
528	0.457193814
529	0.4569883859
530	0.4567085524
531	0.4565082313
532	0.4564062725
533	0.4563432674
534	0.4562796105
535	0.4560504877
536	0.4559225121
537	0.4557882805
538	0.4556638369
539	0.4554268942
540	0.455231281
541	0.4551361649
542	0.45510822
543	0.4548527038
544	0.4546063901
545	0.4543160449
546	0.4540869675
547	0.4537676393
548	0.4535681343
549	0.453415161
550	0.4532574605
551	0.4529823276
552	0.4529069812
553	0.4527385994
554	0.4524012645
555	0.4521945843
556	0.4519076176
557	0.4516401976
558	0.4512875361
559	0.4511218068
560	0.450938769
561	0.4508764115
562	0.450827294
563	0.4506251378
564	0.4504978131
565	0.4504172155
566	0.4503422089
567	0.4502521529
568	0.4501140712
569	0.4500540104
570	0.4499099952
571	0.4496231103
572	0.4494317377
573	0.449322049
574	0.4490539839
575	0.4487765779
576	0.4485533298
577	0.4484757911
578	0.4483315314
579	0.4482743006
580	0.4482065499
581	0.4479681603
582	0.4476595686
583	0.4473625275
584	0.4472829303
585	0.4471272097
586	0.4469760424
587	0.4467934473
588	0.446501889
589	0.4463659251
590	0.4462142045
591	0.4461452587
592	0.4458443723
593	0.4455788876
594	0.4455276451
595	0.4453625411
596	0.4452192047
597	0.444936113
598	0.4447294757
599	0.4446137557
600	0.4444048725
601	0.4443208009
602	0.4442667187
603	0.4442103992
604	0.4441365794
605	0.4441039617
606	0.4440152823
607	0.4439273617
608	0.4438989753
609	0.4437122347
610	0.4434788214
611	0.4433596912
612	0.443322644
613	0.4429519087
614	0.4429181231
615	0.4428913412
616	0.4426586595
617	0.4424613524
618	0.4423667908
619	0.442240609
620	0.442088361
621	0.441855418
622	0.4418008846
623	0.4417240322
624	0.4417100214
625	0.4416413614
626	0.4414591648
627	0.4412931326
628	0.4410637318
629	0.4409489939
630	0.440757387
631	0.4407217258
632	0.4405763104
633	0.4404777203
634	0.4402676428
635	0.4401417828
636	0.4400202592
637	0.4399844407
638	0.4397945193
639	0.4395834228
640	0.4395381378
641	0.4395091082
642	0.4393224371
643	0.4391611715
644	0.4389403877
645	0.4387174782
646	0.438620509
647	0.4385335252
648	0.4383591801
649	0.4381897309
650	0.4378723921
651	0.4378117423
652	0.4375929659
653	0.4375381721
654	0.4372138199
655	0.4370453811
656	0.4369771197
657	0.4369125187
658	0.4367616543
659	0.4365509712
660	0.4364381694
661	0.4363325598
662	0.4362999304
663	0.4362386648
664	0.4361187696
665	0.4359143939
666	0.4358818334
667	0.435738718
668	0.4353909649
669	0.4351707755
670	0.4349659838
671	0.4348709646
672	0.4346420411
673	0.4344370572
674	0.4343756378
675	0.434250491
676	0.4341875092
677	0.4341572843
678	0.4340948643
679	0.4339233224
680	0.4338607732
681	0.4336464181
682	0.4333850388
683	0.4332333752
684	0.4331940744
685	0.4330628742
686	0.4328409626
687	0.432788173
688	0.4326335807
689	0.4324307428
690	0.4322079121
691	0.431995124
692	0.4319102823
693	0.4317789253
694	0.431638598
695	0.4315061449
696	0.4313569005
697	0.4311616888
698	0.4309615399
699	0.4308721501
700	0.4307840739
701	0.4306807575
702	0.4304636694
703	0.4302772345
704	0.4302264188
705	0.4301231012
706	0.4298666595
707	0.4295978708
708	0.4294825171
709	0.429433697
710	0.4292689903
711	0.4291594232
712	0.429093147
713	0.4290672013
714	0.4289561728
715	0.4287764335
716	0.4287426149
717	0.4287007701
718	0.4285720477
719	0.4284386801
720	0.4283879826
721	0.4283379849
722	0.4282565785
723	0.4281053256
724	0.427918508
725	0.4278591642
726	0.4277332446
727	0.4277042662
728	0.4275788235
729	0.4274628782
730	0.4274035253
731	0.4272621381
732	0.4272261839
733	0.4270516436
734	0.4269422115
735	0.426894824
736	0.426837768
737	0.4267240866
738	0.4265224396
739	0.4264796272
740	0.4262925346
741	0.4260612142
742	0.4260186116
743	0.4259257468
744	0.425778755
745	0.4255446387
746	0.4253854624
747	0.4252753447
748	0.4251472495
749	0.4249469215
750	0.4249071019
751	0.4247419128
752	0.4246315051
753	0.4243674998
754	0.4242278491
755	0.4238853075
756	0.4235422888
757	0.4234289503
758	0.4233454758
759	0.4232009129
760	0.4231179705
761	0.4230563487
762	0.422706905
763	0.4225907943
764	0.4225508164
765	0.4223659934
766	0.4222397889
767	0.4221809787
768	0.4219226226
769	0.4217581407
770	0.4215410834
771	0.4215025931
772	0.4212298389
773	0.4210532154
774	0.4209524034
775	0.420706121
776	0.4206230411
777	0.4203878557
778	0.4203581965
779	0.4201346216
780	0.4198779359
781	0.4196813534
782	0.4194933978
783	0.4192953521
784	0.419042062
785	0.4188635501
786	0.4187261385
787	0.4185913326
788	0.4182402454
789	0.4181212661
790	0.4178887386
791	0.4175686403
792	0.4174337066
793	0.4174046551
794	0.4172696557
795	0.417221237
796	0.41712226
797	0.4169746021
798	0.4167297382
799	0.4166054275
800	0.416558328
801	0.4162912322
802	0.4162624991
803	0.4159815352
804	0.4158611498
805	0.415764398
806	0.4156127266
807	0.4154867156
808	0.4153251148
809	0.4151644292
810	0.41505789
811	0.4150267704
812	0.414984805
813	0.4148969976
814	0.4147469415
815	0.4147103716
816	0.4143955562
817	0.4141421082
818	0.4140397774
819	0.4140207093
820	0.4139129875
821	0.4138213229
822	0.4135579171
823	0.4135280089
824	0.4133742131
825	0.4132331613
826	0.4130830245
827	0.4129972984
828	0.4128648914
829	0.4126670929
830	0.4125872835
831	0.4124431707
832	0.4122552493
833	0.4121967724
834	0.4121808672
835	0.4121481666
836	0.4120230338
837	0.4119275843
838	0.4119029273
839	0.411787517
840	0.4115256038
841	0.411466167
842	0.4113404277
843	0.411151104
844	0.4110803649
845	0.4108524605
846	0.4107556294
847	0.4106859294
848	0.410469412
849	0.4103730482
850	0.410270804
851	0.4101985078
852	0.410082295
853	0.4099009906
854	0.409871212
855	0.409624527
856	0.4094111112
857	0.4091933765
858	0.4089403192
859	0.4088838942
860	0.4087659643
861	0.408561994
862	0.408540294
863	0.4084029759
864	0.4083561947
865	0.4082681809
866	0.4081888241
867	0.4081383437
868	0.4079039295
869	0.4077314071
870	0.4076917812
871	0.4075795334
872	0.4074922027
873	0.4073245072
874	0.4072834971
875	0.4071558119
876	0.4070691019
877	0.4069881148
878	0.4068437667
879	0.4068239681
880	0.4065879284
881	0.4065447801
882	0.4064790004
883	0.4063984819
884	0.406229694
885	0.4061641651
886	0.4060737824
887	0.4058545541
888	0.4056465417
889	0.405510438
890	0.4052907649
891	0.4051645154
892	0.4049919677
893	0.4048836608
894	0.404813876
895	0.4047425243
896	0.4046262773
897	0.404393412
898	0.4042635753
899	0.4040201881
900	0.4038952184
901	0.4037156436
902	0.4036060145
903	0.4034501061
904	0.4033127225
905	0.4029968561
906	0.4027736526
907	0.4025732387
908	0.4025378281
909	0.4024031652
910	0.4023076771
911	0.402103427
912	0.401996012
913	0.4018765401
914	0.4018236799
915	0.401744508
916	0.4017092386
917	0.4016941427
918	0.4016189308
919	0.4015979373
920	0.4014264153
921	0.401335713
922	0.4012630329
923	0.4012149003
924	0.4010260664
925	0.4008429579
926	0.4007942118
927	0.4005214065
928	0.400398734
929	0.4002415208
930	0.400125879
931	0.3999822711
932	0.3999170065
933	0.3998402903
934	0.3997837212
935	0.3996965759
936	0.399659084
937	0.3995425677
938	0.3993580271
939	0.3992848064
940	0.3990443637
941	0.399026825
942	0.3988675409
943	0.3987147572
944	0.398695768
945	0.3985640766
946	0.3984542208
947	0.3983060185
948	0.3982357307
949	0.3982068339
950	0.3980745824
951	0.3979500641
952	0.3977839
953	0.3976422109
954	0.3974428344
955	0.3972610379
956	0.3971633509
957	0.3968630572
958	0.396749814
959	0.396716997
960	0.3965522246
961	0.3963438175
962	0.3962914541
963	0.3961799355
964	0.3960802714
965	0.3959458108
966	0.3958187837
967	0.3957402413
968	0.3955338217
969	0.3953637218
970	0.395175763
971	0.3950378397
972	0.3948970907
973	0.3947685292
974	0.3945765348
975	0.3943486159
976	0.3943088642
977	0.3942703829
978	0.3940462997
979	0.3939887097
980	0.3939578288
981	0.393918976
982	0.3937744346
983	0.3935549177
984	0.3934478247
985	0.3932453122
986	0.3930735342
987	0.3930363363
988	0.3928447284
989	0.3927410918
990	0.3924938397
991	0.3923956098
992	0.3923478935
993	0.3923087735
994	0.3922551007
995	0.3922029935
996	0.3921582678
997	0.3919003869
998	0.3918242805
999	0.3917555113
